Best case,,time/n,Average,,Worst case,,time/n^2,time/n,Average n^2,Random case,,time/n,Average
41,7666069,5.34824E-06,4.31289E-06,,114,5492,3.77958E-06,0.020757465,2.92911E-06,70,6122,0.011434172,0.008375879
9,1904439,4.7258E-06,,,16,2089,3.66643E-06,0.007659167,Average n,83,6636,0.012507535,
12,1981526,6.05594E-06,,,148,7140,2.90312E-06,0.020728291,0.016148693,91,7822,0.011633853,
12,2938658,4.0835E-06,,,6,1479,2.74293E-06,0.004056795,,3,1283,0.00233827,
30,7484296,4.00839E-06,,,129,6656,2.91181E-06,0.01938101,,28,4273,0.006552773,
4,1025351,3.9011E-06,,,34,3365,3.00268E-06,0.010104012,,79,7099,0.011128328,
23,5336338,4.31007E-06,,,104,6002,2.88696E-06,0.017327557,,58,6206,0.009345794,
34,8202871,4.14489E-06,,,5,1264,3.12951E-06,0.003955696,,5,1791,0.002791736,
17,3859427,4.4048E-06,,,230,8568,3.13306E-06,0.026844071,,15,3201,0.004686036,
14,3562786,3.92951E-06,,,195,8297,2.83265E-06,0.023502471,,60,6413,0.009355996,
6,1587523,3.77947E-06,,,114,6133,3.03081E-06,0.018587967,,4,1838,0.002176279,
26,6083857,4.2736E-06,,,14,2140,3.05704E-06,0.006542056,,63,6579,0.009575923,
13,3041283,4.27451E-06,,,81,5298,2.88577E-06,0.015288788,,8,2336,0.003424658,
22,5272753,4.17239E-06,,,36,3461,3.00538E-06,0.010401618,,115,8881,0.012948992,
6,1556668,3.85439E-06,,,241,9146,2.88108E-06,0.026350317,,99,8218,0.012046727,
17,3838184,4.42918E-06,,,146,6862,3.10064E-06,0.021276596,,117,8929,0.013103371,
37,8752179,4.22752E-06,,,7,1443,3.36175E-06,0.004851005,,42,5316,0.007900677,
25,4635612,5.39303E-06,,,247,9239,2.89366E-06,0.026734495,,80,7350,0.010884354,
21,5206682,4.03328E-06,,,51,4132,2.9871E-06,0.012342691,,149,9963,0.014955335,
16,3703544,4.32019E-06,,,98,5808,2.90518E-06,0.016873278,,33,4734,0.006970849,
21,4760374,4.41142E-06,,,137,6378,3.36784E-06,0.021480088,,63,6549,0.009619789,
29,7276696,3.98533E-06,,,59,4474,2.94754E-06,0.013187304,,89,7524,0.011828814,
13,3303815,3.93485E-06,,,13,2091,2.97328E-06,0.006217121,,5,1859,0.002689618,
6,1379078,4.35073E-06,,,218,8743,2.85191E-06,0.024934233,,8,2320,0.003448276,
6,1633728,3.67258E-06,,,271,9715,2.87133E-06,0.027895008,,52,5931,0.008767493,
31,7659603,4.04721E-06,,,43,3853,2.89648E-06,0.011160135,,126,9332,0.013501929,
33,7719265,4.27502E-06,,,221,8757,2.88192E-06,0.025236953,,63,6332,0.009949463,
35,6988340,5.00834E-06,,,48,4077,2.88775E-06,0.011773363,,26,4179,0.006221584,
26,5719512,4.54584E-06,,,17,2312,3.18034E-06,0.007352941,,132,9612,0.013732834,
41,9452809,4.33734E-06,,,199,8276,2.90544E-06,0.024045433,,72,6942,0.010371651,
25,6143340,4.06945E-06,,,165,7592,2.86267E-06,0.021733404,,6,2357,0.002545609,
39,9515887,4.09841E-06,,,89,5519,2.92193E-06,0.01612611,,10,2423,0.004127115,
23,5358192,4.29249E-06,,,94,5649,2.94567E-06,0.016640113,,7,2163,0.003236246,
